,State,County,"Population estimates, July 1, 2019,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Housing units in multi-unit structures, percent, 2009-2013","Building permits, 2018","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2017","Total employment, 2017","Total annual payroll, 2017 ($1,000)","Total employment, percent change, 2016-2017","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Black-owned firms, percent, 2007","American Indian- and Alaska Native-owned firms, percent, 2007","Asian-owned firms, percent, 2007","Native Hawaiian- and Other Pacific Islander-owned firms, percent, 2007","Hispanic-owned firms, percent, 2007","Women-owned firms, percent, 2007","Population per square mile, 2010","Land area in square miles, 2010",full_name,fips_code
10,ALABAMA,CHILTON COUNTY,"44,153",1.2%,"43,630","43,643",6.2%,23.8%,16.8%,50.9%,87.1%,10.4%,0.6%,0.5%,0.2%,1.3%,7.9%,80.1%,"2,699",4.5%,"19,791",74.8%,"$102,200","$1,025",$330,$684,4.1%,95,"16,751",2.6,89.3%,7.3%,78.0%,61.8%,82.2%,14.2%,13.9%,13.8%,54.6%,47.6%,"35,354","66,351","287,155","260,520","442,751","$10,104",33.2,"$45,182","$24,611",17.3%,756,"7,892","265,841",3.7%,"2,884","3,130","1,961",930,296,"2,750",231,"2,817",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,63.0,692.85,"CHILTON COUNTY, ALABAMA",01021
11,ALABAMA,CHOCTAW COUNTY,"12,841",-7.3%,"13,858","13,859",5.2%,20.0%,23.0%,52.7%,57.2%,41.7%,0.2%,0.2%,0.0%,0.7%,1.0%,56.4%,771,0.5%,"7,394",79.7%,"$75,200",$947,$336,$533,4.0%,,"5,350",2.41,87.6%,1.4%,74.1%,58.3%,81.4%,13.0%,21.1%,11.3%,44.1%,37.3%,"7,598","30,891",,,"99,968","$7,333",32.2,"$34,884","$22,182",22.1%,257,"2,811","145,655",-0.8%,811,"1,233",754,323,321,870,291,869,26.2%,0.0%,0.0%,0.0%,0.0%,44.1%,15.2,913.50,"CHOCTAW COUNTY, ALABAMA",01023
12,ALABAMA,CLARKE COUNTY,"23,920",-7.4%,"25,833","25,833",5.8%,21.7%,19.9%,52.6%,53.4%,44.6%,0.5%,0.4%,,1.0%,1.4%,52.5%,"1,130",0.4%,"12,808",67.5%,"$100,800","$1,107",$375,$561,6.8%,7,"9,358",2.57,92.2%,0.9%,65.3%,53.2%,81.2%,12.6%,11.6%,11.9%,45.2%,36.2%,"27,967","68,161","681,292","75,184","341,028","$13,554",24.4,"$36,127","$21,111",22.8%,600,"6,474","228,771",-5.1%,"1,514","2,417","1,238",894,694,"1,609",171,"2,018",0.0%,0.0%,0.0%,0.0%,0.0%,28.6%,20.9,"1,238.47","CLARKE COUNTY, ALABAMA",01025
13,ALABAMA,CLAY COUNTY,"13,275",-4.7%,"13,930","13,932",5.2%,20.2%,20.7%,51.1%,83.2%,14.1%,0.5%,0.2%,0.0%,1.9%,3.0%,80.5%,788,2.0%,"6,835",72.4%,"$102,200",$986,$282,$564,10.0%,3,"5,236",2.51,91.4%,2.5%,78.9%,68.2%,75.5%,10.2%,9.3%,13.9%,54.6%,49.8%,"4,764",,,,"67,683","$5,038",29.0,"$41,225","$23,147",17.6%,185,"3,450","112,952",5.3%,791,873,580,261,119,726,163,690,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,23.1,603.96,"CLAY COUNTY, ALABAMA",01027
14,ALABAMA,CLEBURNE COUNTY,"14,987",0.1%,"14,972","14,972",6.0%,22.8%,19.5%,50.5%,95.0%,2.9%,0.5%,0.2%,0.1%,1.3%,2.5%,92.8%,715,1.5%,"6,850",75.7%,"$112,000","$1,120",$328,$575,6.3%,1,"5,726",2.58,85.5%,3.2%,79.9%,60.4%,77.4%,13.7%,16.7%,13.3%,51.4%,43.9%,,,"269,201","6,575","63,984","$4,314",33.0,"$40,188","$21,989",16.0%,170,"1,709","66,702",0.4%,988,"1,185",784,317,64,"1,107",91,"1,073",0.0%,0.0%,0.0%,0.0%,0.0%,17.7%,26.7,560.10,"CLEBURNE COUNTY, ALABAMA",01029
15,ALABAMA,COFFEE COUNTY,"51,909",3.9%,"49,952","49,948",6.2%,23.7%,17.0%,50.8%,75.8%,17.7%,1.4%,1.6%,0.4%,3.0%,7.6%,69.9%,"6,439",3.6%,"23,273",64.8%,"$149,100","$1,154",$348,$782,13.5%,112,"19,789",2.56,82.6%,6.0%,85.5%,77.6%,86.2%,23.4%,12.7%,12.0%,57.0%,52.9%,"61,277","174,259","1,089,871","213,198","610,054","$11,903",22.3,"$53,155","$27,577",13.8%,985,"13,378","437,987",-0.1%,"2,734","3,690","1,847","1,482",716,"2,846",611,"2,867",6.0%,0.0%,1.3%,0.0%,0.7%,29.3%,73.6,678.97,"COFFEE COUNTY, ALABAMA",01031
16,ALABAMA,COLBERT COUNTY,"54,762",0.6%,"54,428","54,428",5.7%,20.8%,19.9%,52.0%,80.6%,16.2%,0.7%,0.6%,0.1%,1.9%,2.7%,78.4%,"3,839",1.7%,"26,731",72.7%,"$113,500","$1,027",$384,$691,12.3%,160,"21,799",2.48,89.6%,2.6%,81.4%,68.2%,84.4%,18.7%,13.1%,9.7%,53.8%,48.5%,"72,753","281,554","2,546,996","657,389","1,011,336","$18,575",23.2,"$47,558","$24,918",13.8%,"1,217","23,258","881,243",3.5%,"3,592","5,090","2,809","1,872",678,"4,244",472,"4,403",0.0%,0.0%,0.0%,0.0%,0.0%,22.8%,91.8,592.62,"COLBERT COUNTY, ALABAMA",01033
17,ALABAMA,CONECUH COUNTY,"12,277",-7.2%,"13,233","13,228",5.3%,20.8%,22.5%,52.1%,51.6%,46.3%,0.5%,0.2%,,1.3%,2.2%,50.3%,776,0.7%,"7,177",76.6%,"$76,600",$843,$306,$568,7.2%,,"4,574",2.73,95.2%,0.2%,57.6%,47.2%,80.8%,10.7%,16.5%,12.0%,43.3%,38.5%,"6,234","31,595","79,712","103,861","136,398","$10,508",25.1,"$33,177","$17,542",24.4%,196,"2,616","84,900",7.2%,723,833,438,303,236,567,81,722,0.0%,0.0%,0.0%,0.0%,0.0%,23.0%,15.6,850.16,"CONECUH COUNTY, ALABAMA",01035
18,ALABAMA,COOSA COUNTY,"10,715",-8.9%,"11,758","11,539",4.6%,16.6%,23.2%,49.6%,66.9%,30.9%,0.6%,0.1%,0.2%,1.3%,2.5%,65.4%,"1,059",0.5%,"6,594",82.0%,"$87,900",$895,$317,$554,3.0%,,"4,103",2.55,90.6%,0.6%,75.2%,64.3%,79.6%,11.6%,15.6%,13.0%,47.3%,45.5%,,,,,"37,904","$3,457",29.2,"$38,301","$22,963",18.9%,96,"1,036","37,324",9.7%,420,460,276,159,86,363,25,427,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,17.7,650.93,"COOSA COUNTY, ALABAMA",01037
19,ALABAMA,COVINGTON COUNTY,"36,986",-2.1%,"37,766","37,765",6.0%,21.9%,21.1%,51.6%,84.5%,12.6%,0.7%,0.5%,,1.7%,1.7%,83.2%,"2,902",0.7%,"18,975",74.0%,"$95,500",$955,$322,$608,6.0%,15,"15,008",2.44,88.3%,1.7%,76.6%,68.6%,82.9%,14.9%,14.8%,12.1%,54.2%,47.0%,"33,061","138,991","671,895","470,482","452,011","$11,909",25.0,"$40,601","$23,071",19.9%,816,"10,433","357,563",2.4%,"2,213","2,657","1,468",891,375,"2,177",181,"2,287",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,36.6,"1,030.46","COVINGTON COUNTY, ALABAMA",01039
20,ALABAMA,CRENSHAW COUNTY,"13,824",-0.5%,"13,898","13,906",5.8%,22.9%,19.0%,51.7%,72.8%,23.5%,0.6%,1.1%,,2.0%,2.3%,70.9%,761,1.9%,"6,829",73.8%,"$79,500",$976,$300,$518,8.0%,4,"5,025",2.73,91.1%,2.8%,70.9%,59.6%,78.4%,15.6%,16.3%,12.3%,53.7%,46.6%,,"28,698",,"308,961","72,731","$5,164",27.9,"$39,812","$23,353",19.5%,214,"3,193","111,219",-4.8%,868,923,529,309,191,708,142,755,25.8%,0.0%,0.0%,0.0%,0.0%,30.2%,22.8,608.84,"CRENSHAW COUNTY, ALABAMA",01041
21,ALABAMA,CULLMAN COUNTY,"83,442",3.8%,"80,406","80,406",6.2%,22.5%,18.5%,50.6%,95.9%,1.3%,0.6%,0.7%,0.1%,1.4%,4.4%,91.9%,"5,149",2.4%,"38,023",74.6%,"$124,100","$1,027",$365,$685,8.2%,135,"30,730",2.64,91.1%,4.1%,81.3%,69.9%,81.8%,13.7%,12.3%,12.7%,53.0%,46.2%,"111,212","242,159","1,880,798","1,068,757","896,368","$11,143",26.4,"$42,558","$22,980",14.5%,"1,739","25,233","908,606",-0.2%,"5,880","6,433","4,016","1,546",219,"6,014",798,"5,349",1.1%,0.0%,1.1%,0.0%,0.0%,23.9%,109.4,734.84,"CULLMAN COUNTY, ALABAMA",01043
22,ALABAMA,DALE COUNTY,"48,956",-2.6%,"50,249","50,251",6.7%,23.0%,16.9%,50.9%,73.8%,21.0%,0.8%,1.4%,0.2%,2.8%,6.6%,68.4%,"6,288",3.3%,"23,149",60.2%,"$110,100","$1,002",$315,$725,13.6%,24,"18,670",2.57,82.4%,5.4%,84.4%,72.9%,85.8%,17.0%,15.5%,9.7%,50.6%,47.3%,"54,607","86,660","110,162","41,019","323,453","$6,412",21.5,"$45,960","$23,837",16.2%,744,"10,893","541,366",-2.3%,"2,462","2,712","1,315","1,102",594,"1,997",363,"2,128",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,89.6,561.15,"DALE COUNTY, ALABAMA",01045
23,ALABAMA,DALLAS COUNTY,"38,310",-12.6%,"43,818","43,820",6.1%,23.8%,18.1%,53.8%,27.7%,70.5%,0.3%,0.6%,,0.9%,1.1%,27.2%,"2,106",1.3%,"20,361",59.8%,"$82,600",$962,$361,$623,19.3%,28,"16,336",2.41,88.7%,1.6%,71.8%,63.4%,80.7%,15.1%,13.4%,10.4%,51.6%,47.7%,"36,082","173,549","1,309,877","107,106","413,111","$9,638",22.5,"$31,602","$18,910",31.4%,721,"10,060","353,323",-4.1%,"2,229","2,726","1,378","1,066","1,409","1,134",305,"2,206",49.1%,0.0%,4.4%,0.0%,0.0%,28.8%,44.8,978.70,"DALLAS COUNTY, ALABAMA",01047
24,ALABAMA,DEKALB COUNTY,"71,385",0.4%,"71,116","71,109",5.9%,24.1%,17.3%,50.4%,92.7%,1.9%,2.0%,0.5%,0.6%,2.2%,14.8%,80.1%,"3,678",7.5%,"31,660",71.2%,"$102,700",$975,$322,$619,6.7%,85,"26,132",2.69,86.4%,12.1%,79.0%,67.0%,74.1%,12.7%,10.8%,17.3%,53.6%,45.9%,"79,025","189,151","1,551,930","160,975","579,717","$8,156",23.7,"$39,233","$21,004",21.3%,"1,110","17,669","691,351",-0.4%,"4,761","5,850","3,454","1,928",311,"5,291",567,"5,049",0.0%,0.8%,0.6%,0.0%,0.0%,25.8%,91.5,777.09,"DEKALB COUNTY, ALABAMA",01049
25,ALABAMA,ELMORE COUNTY,"81,887",3.3%,"79,293","79,303",5.8%,22.2%,15.1%,51.7%,75.5%,21.5%,0.5%,0.7%,0.1%,1.7%,3.0%,73.0%,"6,600",1.8%,"34,418",73.7%,"$161,100","$1,247",$337,$869,8.1%,74,"29,143",2.63,85.7%,3.2%,86.6%,79.6%,86.4%,24.5%,12.9%,8.7%,55.3%,53.9%,"66,937","156,910","800,172","136,088","711,587","$8,825",27.7,"$59,347","$27,475",11.2%,"1,179","14,743","499,717",2.7%,"5,292","5,249","2,975","1,723",882,"4,185",889,"4,060",9.1%,0.0%,0.0%,0.0%,0.0%,28.3%,128.2,618.49,"ELMORE COUNTY, ALABAMA",01051
26,ALABAMA,ESCAMBIA COUNTY,"36,748",-4.1%,"38,320","38,319",6.0%,22.4%,17.9%,49.3%,62.0%,31.7%,3.9%,0.3%,0.1%,2.1%,2.5%,60.2%,"2,184",1.0%,"16,676",68.8%,"$98,200",$976,$324,$587,9.0%,11,"13,428",2.57,94.2%,1.8%,65.4%,57.3%,81.5%,12.7%,13.2%,14.4%,47.0%,45.7%,"37,213","105,735","758,931","134,147","374,890","$9,867",22.7,"$35,000","$18,161",23.6%,752,"10,170","357,133",1.1%,"2,155","2,822","1,646",951,648,"2,053",501,"2,196",9.0%,3.2%,0.0%,0.0%,0.0%,21.3%,40.5,945.08,"ESCAMBIA COUNTY, ALABAMA",01053
27,ALABAMA,ETOWAH COUNTY,"102,501",-1.8%,"104,427","104,430",5.8%,21.5%,19.0%,51.6%,80.8%,15.7%,0.6%,0.8%,0.3%,1.8%,4.0%,77.7%,"7,419",2.9%,"47,846",71.9%,"$109,900","$1,068",$348,$669,12.1%,104,"38,777",2.62,85.3%,3.9%,83.4%,73.4%,84.5%,17.7%,14.8%,12.5%,54.3%,49.0%,"152,960","701,939","1,355,790","549,937","1,236,494","$11,845",24.0,"$44,023","$24,065",17.5%,"1,978","30,604","1,044,772",-0.7%,"7,361","8,616","4,938","2,902","1,137","7,168","1,030","7,161",6.1%,0.0%,0.0%,0.0%,0.6%,25.7%,195.2,534.99,"ETOWAH COUNTY, ALABAMA",01055
28,ALABAMA,FAYETTE COUNTY,"16,433",-4.6%,"17,232","17,241",5.6%,21.1%,21.1%,51.2%,85.7%,12.0%,0.5%,0.4%,0.0%,1.4%,1.8%,84.2%,"1,159",0.9%,"8,507",77.9%,"$83,800",$943,$326,$557,8.7%,2,"6,947",2.34,87.1%,0.9%,77.8%,68.9%,82.4%,12.9%,20.1%,11.5%,50.9%,44.2%,,"54,125","143,288","34,801","131,208","$7,726",28.5,"$37,458","$21,862",23.5%,299,"3,090","99,802",-2.7%,"1,066","1,139",548,436,123,963,61,"1,001",5.1%,0.0%,0.0%,0.0%,0.0%,24.3%,27.5,627.66,"FAYETTE COUNTY, ALABAMA",01057
29,ALABAMA,FRANKLIN COUNTY,"31,363",-1.1%,"31,709","31,704",6.6%,24.5%,16.9%,49.5%,91.6%,4.5%,1.5%,0.3%,0.2%,1.7%,17.8%,76.2%,"1,257",9.3%,"14,229",70.6%,"$87,800",$895,$336,$572,12.0%,20,"11,210",2.79,89.5%,16.2%,71.6%,59.7%,76.8%,12.9%,10.7%,15.3%,55.7%,46.0%,"23,792","96,389","981,206","44,306","277,749","$8,745",28.6,"$40,459","$19,776",19.2%,517,"10,515","350,356",9.0%,"1,922","2,338","1,537",538,152,"2,125",347,"1,844",0.0%,0.0%,0.0%,0.0%,0.0%,23.2%,50.0,633.82,"FRANKLIN COUNTY, ALABAMA",01059
30,ALABAMA,GENEVA COUNTY,"26,314",-1.8%,"26,787","26,790",5.4%,21.9%,20.3%,51.2%,87.2%,9.5%,1.0%,0.3%,0.1%,1.9%,4.0%,83.7%,"2,130",1.5%,"12,850",70.8%,"$92,300",$926,$311,$615,5.6%,13,"10,479",2.5,88.8%,3.8%,79.8%,66.9%,79.1%,11.1%,15.5%,14.1%,51.4%,45.0%,,"42,864",,,"160,796","$5,971",27.5,"$38,142","$20,471",21.3%,400,"3,775","118,276",-4.0%,"1,583","1,429",898,375,109,"1,268",287,"1,058",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,46.6,574.41,"GENEVA COUNTY, ALABAMA",01061
31,ALABAMA,GREENE COUNTY,"8,233",-9.0%,"9,043","9,045",5.8%,22.2%,22.3%,52.8%,18.5%,80.1%,0.3%,0.3%,0.0%,0.8%,1.7%,17.5%,427,0.1%,"5,111",68.7%,"$66,400",$834,$366,$609,8.9%,6,"2,955",2.83,98.3%,0.1%,55.2%,46.2%,75.9%,10.1%,18.1%,11.4%,39.3%,36.7%,,"16,794","102,204",,"40,292","$4,539",31.9,"$21,804","$14,209",30.1%,99,"1,256","43,593",-8.9%,422,637,234,360,455,152,60,535,60.3%,0.0%,0.0%,0.0%,0.0%,36.1%,14.0,647.11,"GREENE COUNTY, ALABAMA",01063
